Date,AAPL,MSFT,GOOGL,AMZN,TSLA,JPM,XOM,GLD
2018-01-02,40.30417251586914,78.870361328125,53.22062683105469,59.45050048828125,21.368667602539062,85.90126037597656,58.58043670654297,125.1500015258789
2018-01-03,40.297157287597656,79.23738861083984,54.12862777709961,60.209999084472656,21.149999618530273,85.98880767822266,59.730960845947266,124.81999969482422
2018-01-04,40.484344482421875,79.934814453125,54.338890075683594,60.47949981689453,20.974666595458984,87.22065734863281,59.813621520996094,125.45999908447266
2018-01-05,40.94526290893555,80.92584228515625,55.0594367980957,61.457000732421875,21.10533332824707,86.66070556640625,59.765411376953125,125.33000183105469
2018-01-08,40.79317855834961,81.0084457397461,55.25382995605469,62.34349822998047,22.42733383178711,86.7886962890625,60.034080505371094,125.30999755859375
2018-01-09,40.78849411010742,80.95338439941406,55.183414459228516,62.6349983215332,22.246000289916992,87.2286376953125,59.77915573120117,124.7300033569336
2018-01-10,40.77913284301758,80.5863265991211,55.051998138427734,62.71649932861328,22.31999969482422,88.18852233886719,59.3038330078125,125.02999877929688
2018-01-11,41.010780334472656,80.82490539550781,55.14671325683594,63.83399963378906,22.530000686645508,88.66044616699219,59.8894157409668,125.44000244140625
2018-01-12,41.434268951416016,82.21971130371094,56.069087982177734,65.26000213623047,22.4146671295166,90.12428283691406,60.29587173461914,126.95999908447266
2018-01-16,41.22369384765625,81.07268524169922,56.07156753540039,65.24299621582031,22.67066764831543,89.80431365966797,59.91695785522461,127.16999816894531
2018-01-17,41.90454864501953,82.71521759033203,56.488128662109375,64.75,23.143999099731445,90.38024139404297,60.62657928466797,126.13999938964844
2018-01-18,41.94198989868164,82.67853546142578,56.33291244506836,64.66600036621094,22.971332550048828,90.59622192382812,60.23386001586914,125.86000061035156
2018-01-19,41.75481033325195,82.58676147460938,56.706321716308594,64.72899627685547,23.334667205810547,90.396240234375,60.04100036621094,126.41999816894531
2018-01-22,41.413204193115234,84.06416320800781,57.73085403442383,66.3655014038086,23.437332153320312,91.45207977294922,60.79879379272461,126.6500015258789
2018-01-23,41.42256164550781,84.33027648925781,58.32643508911133,68.12699890136719,23.519332885742188,91.35611724853516,60.833248138427734,127.27999877929688
2018-01-24,40.762760162353516,84.25684356689453,58.084434509277344,67.87550354003906,23.05933380126953,92.52396392822266,60.99169158935547,128.8300018310547
2018-01-25,40.03510665893555,84.7248306274414,58.62247848510742,68.89749908447266,22.50933265686035,92.54795837402344,60.88149642944336,127.97000122070312
2018-01-26,40.128692626953125,86.31233978271484,58.891258239746094,70.10250091552734,22.856666564941406,93.04388427734375,61.31550598144531,128.07000732421875
2018-01-29,39.2980842590332,86.18388366699219,58.837703704833984,70.88400268554688,23.302000045776367,92.94788360595703,60.63345718383789,127.3499984741211
2018-01-30,39.06645584106445,85.10107421875,58.38594436645508,71.89099884033203,23.05466651916504,92.07603454589844,59.78607177734375,126.80000305175781
2018-01-31,39.17407989501953,87.18408966064453,58.6264533996582,72.54450225830078,23.62066650390625,92.52396392822266,60.14431381225586,127.6500015258789
2018-02-01,39.2559700012207,86.4958724975586,58.595211029052734,69.5,23.28333282470703,93.48381805419922,61.363731384277344,128.07000732421875
2018-02-02,37.55265808105469,84.22014617919922,55.501277923583984,71.49749755859375,22.916667938232422,91.412109375,58.235939025878906,126.38999938964844
2018-02-05,36.61443328857422,80.75149536132812,52.6840705871582,69.5,22.208667755126953,87.02869415283203,54.92215347290039,126.70999908447266
2018-02-06,38.14459991455078,83.8072280883789,53.77703094482422,72.14199829101562,22.264667510986328,89.67632293701172,53.97831726074219,125.37999725341797
2018-02-07,37.32804870605469,82.22889709472656,52.337928771972656,70.83899688720703,23.0,90.28426361083984,53.00691604614258,124.79000091552734
2018-02-08,36.3008918762207,78.00779724121094,49.97248077392578,67.5250015258789,21.01533317565918,86.29275512695312,52.40754699707031,124.9800033569336
2018-02-09,36.744903564453125,80.91667938232422,51.88467025756836,66.9800033569336,20.69466781616211,88.0205307006836,52.74159622192383,124.7699966430664
2018-02-12,38.224952697753906,81.78842163085938,52.2957763671875,69.3115005493164,21.048667907714844,89.38037872314453,53.187034606933594,125.37000274658203
2018-02-13,38.607887268066406,82.43077087402344,52.27495574951172,70.72550201416016,21.577333450317383,89.93230438232422,53.103519439697266,126.08000183105469
2018-02-14,39.3197021484375,83.72148132324219,53.19533920288086,72.55249786376953,21.487333297729492,92.01202392578125,53.214866638183594,128.22999572753906
2018-02-15,40.63999938964844,85.42709350585938,54.120697021484375,73.08799743652344,22.271333694458008,92.39598083496094,53.04086685180664,128.3800048828125
2018-02-16,40.5084342956543,84.81858825683594,54.32600021362305,72.43450164794922,22.365999221801758,91.7320556640625,53.27054977416992,127.95999908447266
2018-02-20,40.37218475341797,85.48240661621094,54.72718048095703,73.4175033569336,22.31800079345703,91.75606536865234,52.72072219848633,126.23999786376953
2018-02-21,40.188926696777344,84.34840393066406,55.231021881103516,74.14600372314453,22.219999313354492,92.13998413085938,52.1221809387207,125.66000366210938
2018-02-22,40.524879455566406,84.56967163085938,55.04009246826172,74.26699829101562,23.077999114990234,91.97205352783203,52.79728698730469,126.30000305175781
2018-02-23,41.22966003417969,86.71778869628906,55.942138671875,75.0,23.469999313354492,93.83577728271484,53.95957946777344,126.13999938964844
2018-02-26,42.04485321044922,87.97162628173828,56.71623992919922,76.09750366210938,23.827999114990234,95.00361633300781,54.87131118774414,126.44999694824219
2018-02-27,41.90858840942383,86.84687805175781,55.417476654052734,75.5989990234375,23.39933204650879,93.87579345703125,53.93870162963867,125.12999725341797
2018-02-28,41.845184326171875,86.45040893554688,54.7435417175293,75.62249755859375,22.87066650390625,92.38796997070312,52.71376037597656,125.0
2018-03-01,41.1121940612793,85.60222625732422,53.131370544433594,74.67250061035156,22.062000274658203,90.73217010498047,52.33794403076172,124.72000122070312
2018-03-02,41.3964729309082,85.78663635253906,53.76264953613281,75.01249694824219,22.341333389282227,90.64420318603516,52.58151626586914,125.38999938964844
2018-03-05,41.53977966308594,86.33058166503906,54.2892951965332,76.18049621582031,22.22333335876465,92.03602600097656,53.082637786865234,125.18000030517578
2018-03-06,41.50453186035156,86.03557586669922,54.59378433227539,76.88200378417969,21.8799991607666,92.11599731445312,53.01999282836914,126.52999877929688
2018-03-07,41.119258880615234,86.53340911865234,55.294986724853516,77.25,22.15333366394043,91.77206420898438,51.68372344970703,125.72000122070312
2018-03-08,41.56796646118164,87.0589370727539,56.00611114501953,77.59300231933594,21.940000534057617,91.78004455566406,51.586273193359375,125.41999816894531
2018-03-09,42.282135009765625,89.00420379638672,57.56621170043945,78.94450378417969,21.81133270263672,94.41968536376953,51.89249038696289,125.54000091552734
2018-03-12,42.690921783447266,89.21627044677734,57.818634033203125,79.91950225830078,23.034000396728516,94.11575317382812,52.36576843261719,125.54000091552734
2018-03-13,42.279788970947266,87.04045867919922,56.528289794921875,79.40899658203125,22.78933334350586,92.98790740966797,51.87162780761719,125.77999877929688
2018-03-14,41.92033767700195,86.52417755126953,56.97361755371094,79.55000305175781,21.775333404541016,91.94801330566406,51.224369049072266,125.69999694824219
2018-03-15,41.96968460083008,86.82842254638672,57.05890655517578,79.11599731445312,21.706666946411133,92.18001556396484,51.79507064819336,124.9000015258789
2018-03-16,41.821678161621094,87.21565246582031,56.25604248046875,78.58399963378906,21.42333221435547,92.33998107910156,52.28226852416992,124.5999984741211
2018-03-19,41.18268585205078,85.63912963867188,54.55263137817383,77.24649810791016,20.90399932861328,91.61209106445312,51.60716247558594,124.87000274658203
2018-03-20,41.168582916259766,85.8603744506836,54.34086990356445,79.32550048828125,20.703332901000977,91.70005798339844,51.49580001831055,124.30999755859375
2018-03-21,40.23592758178711,85.2611312866211,54.251609802246094,79.09300231933594,21.101999282836914,91.78004455566406,52.22657012939453,126.4800033569336
2018-03-22,39.667396545410156,82.78108978271484,52.225852966308594,77.24600219726562,20.606666564941406,87.94853973388672,51.15476608276367,125.9800033569336
2018-03-23,38.748836517333984,80.3748550415039,50.90675354003906,74.77799987792969,20.1026668548584,85.59688568115234,50.7302131652832,127.61000061035156
2018-03-26,40.588314056396484,86.45964813232422,52.272464752197266,77.79299926757812,20.278667449951172,88.23651123046875,51.50276184082031,128.27999877929688
2018-03-27,39.5475959777832,82.48609161376953,49.934295654296875,74.85250091552734,18.61199951171875,86.52474212646484,51.2939567565918,127.48999786376953
