,0
AAPL,0.0012297860101546996
MSFT,0.0012049152042054334
GOOGL,0.0008283122967506189
AMZN,0.0008704320152550553
TSLA,0.002432700131532418
JPM,0.0006011172511531922
XOM,0.0005141353537530451
GLD,0.0003209835473985542
